MES;VAZAO
out/2002;1677
nov/2002;1788
dez/2002;1798,81
jan/2003;2563
fev/2003;3955
mar/2003;5955
abr/2003;9756
mai/2003;6583
jun/2003;4233,91
jul/2003;2744
ago/2003;2059,78
set/2003;1784
out/2003;1552
nov/2003;1509
dez/2003;2323
jan/2004;5009
fev/2004;3941,58
mar/2004;3544
abr/2004;5427
mai/2004;9942
jun/2004;5061
jul/2004;2650
ago/2004;2183,84
set/2004;1865
out/2004;2023,61
nov/2004;2341
dez/2004;3199
jan/2005;3380,76
fev/2005;3459
mar/2005;8060
abr/2005;5844
mai/2005;3636
jun/2005;2634
jul/2005;1949
ago/2005;1810,17
set/2005;1557
out/2005;1613
nov/2005;1907
dez/2005;2190
jan/2006;2956
fev/2006;2954
mar/2006;4739
abr/2006;6238
mai/2006;6750
jun/2006;3593
jul/2006;2036,53
ago/2006;1699,61
set/2006;1490
out/2006;1617
nov/2006;1772
dez/2006;2097,65
jan/2007;4111
fev/2007;4088,47
mar/2007;5039
abr/2007;4792
mai/2007;7012
jun/2007;7887
jul/2007;3127
ago/2007;1989,97
set/2007;1505,47
out/2007;1379
nov/2007;1631
dez/2007;3914
